instant_x,dteday,season_x,yr_x,mnth_x,hr,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,hr_formated,instant_y,season_y,yr_y,mnth_y,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y,temp_category
34,2011-01-02,Spring,2011,January,10,False,Sunday,False,Mist/Cloudy,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,10:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
35,2011-01-02,Spring,2011,January,11,False,Sunday,False,Mist/Cloudy,14.76,16.665,71.0,16.997899999999998,16,54,70,11:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
36,2011-01-02,Spring,2011,January,12,False,Sunday,False,Mist/Cloudy,14.76,16.665,66.0,19.999499999999998,20,73,93,12:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
37,2011-01-02,Spring,2011,January,13,False,Sunday,False,Mist/Cloudy,14.76,17.424999999999997,66.0,8.9981,11,64,75,13:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
38,2011-01-02,Spring,2011,January,14,False,Sunday,False,Light Rain/Snow,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,14:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
39,2011-01-02,Spring,2011,January,15,False,Sunday,False,Light Rain/Snow,13.940000000000001,16.665,81.0,11.0014,19,55,74,15:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
40,2011-01-02,Spring,2011,January,16,False,Sunday,False,Light Rain/Snow,13.940000000000001,16.665,71.0,11.0014,9,67,76,16:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
41,2011-01-02,Spring,2011,January,17,False,Sunday,False,Clear,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,17:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
42,2011-01-02,Spring,2011,January,18,False,Sunday,False,Mist/Cloudy,14.76,16.665,46.0,22.0028,10,43,53,18:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
43,2011-01-02,Spring,2011,January,19,False,Sunday,False,Clear,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,19:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
44,2011-01-02,Spring,2011,January,20,False,Sunday,False,Clear,12.299999999999999,13.635,39.0,23.9994,5,17,22,20:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
45,2011-01-02,Spring,2011,January,21,False,Sunday,False,Clear,10.66,11.365,44.0,22.0028,11,20,31,21:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
46,2011-01-02,Spring,2011,January,22,False,Sunday,False,Clear,9.84,10.605,44.0,19.999499999999998,0,9,9,22:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
47,2011-01-02,Spring,2011,January,23,False,Sunday,False,Clear,9.02,11.365,47.0,11.0014,0,8,8,23:00,2,Spring,2011,January,False,Sunday,False,Mist/Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,Sejuk
48,2011-01-03,Spring,2011,January,0,False,Monday,True,Clear,9.02,9.85,44.0,23.9994,0,5,5,00:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
49,2011-01-03,Spring,2011,January,1,False,Monday,True,Clear,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,01:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
50,2011-01-03,Spring,2011,January,4,False,Monday,True,Clear,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,04:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
51,2011-01-03,Spring,2011,January,5,False,Monday,True,Clear,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,05:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
52,2011-01-03,Spring,2011,January,6,False,Monday,True,Clear,5.74,5.305,50.0,26.0027,0,30,30,06:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
53,2011-01-03,Spring,2011,January,7,False,Monday,True,Clear,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,07:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
54,2011-01-03,Spring,2011,January,8,False,Monday,True,Clear,5.74,6.0600000000000005,50.0,19.0012,1,153,154,08:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
55,2011-01-03,Spring,2011,January,9,False,Monday,True,Clear,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,09:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
56,2011-01-03,Spring,2011,January,10,False,Monday,True,Clear,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,10:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
57,2011-01-03,Spring,2011,January,11,False,Monday,True,Clear,8.200000000000001,9.09,40.0,22.0028,10,41,51,11:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
58,2011-01-03,Spring,2011,January,12,False,Monday,True,Clear,9.02,10.605,35.0,19.999499999999998,13,48,61,12:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
59,2011-01-03,Spring,2011,January,13,False,Monday,True,Clear,9.84,10.605,35.0,19.0012,8,53,61,13:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
60,2011-01-03,Spring,2011,January,14,False,Monday,True,Clear,10.66,12.120000000000001,30.0,19.0012,11,66,77,14:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
61,2011-01-03,Spring,2011,January,15,False,Monday,True,Clear,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,15:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
62,2011-01-03,Spring,2011,January,16,False,Monday,True,Clear,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,16:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
63,2011-01-03,Spring,2011,January,17,False,Monday,True,Clear,9.84,11.365,30.0,15.001299999999999,11,146,157,17:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
64,2011-01-03,Spring,2011,January,18,False,Monday,True,Clear,9.84,12.879999999999999,32.0,7.0015,9,148,157,18:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
65,2011-01-03,Spring,2011,January,19,False,Monday,True,Clear,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,19:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
66,2011-01-03,Spring,2011,January,20,False,Monday,True,Clear,8.200000000000001,11.365,47.0,7.0015,3,49,52,20:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
67,2011-01-03,Spring,2011,January,21,False,Monday,True,Clear,7.38,9.85,64.0,8.9981,3,49,52,21:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
68,2011-01-03,Spring,2011,January,22,False,Monday,True,Clear,5.74,7.575,69.0,8.9981,0,20,20,22:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
69,2011-01-03,Spring,2011,January,23,False,Monday,True,Clear,7.38,10.605,55.00000000000001,7.0015,1,11,12,23:00,3,Spring,2011,January,False,Monday,True,Clear,8.050924,9.47025,43.7273,16.636703,120,1229,1349,dingin
70,2011-01-04,Spring,2011,January,0,False,Tuesday,True,Clear,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,00:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
71,2011-01-04,Spring,2011,January,1,False,Tuesday,True,Clear,6.5600000000000005,9.09,59.0,7.0015,0,2,2,01:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
72,2011-01-04,Spring,2011,January,2,False,Tuesday,True,Clear,5.74,7.575,63.0,8.9981,0,1,1,02:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
73,2011-01-04,Spring,2011,January,4,False,Tuesday,True,Clear,5.74,9.09,63.0,6.0032,0,2,2,04:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
74,2011-01-04,Spring,2011,January,5,False,Tuesday,True,Clear,4.92,7.575,68.0,7.0015,0,4,4,05:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
75,2011-01-04,Spring,2011,January,6,False,Tuesday,True,Clear,4.92,7.575,74.0,7.0015,0,36,36,06:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
76,2011-01-04,Spring,2011,January,7,False,Tuesday,True,Clear,4.92,7.575,74.0,8.9981,2,92,94,07:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
77,2011-01-04,Spring,2011,January,8,False,Tuesday,True,Clear,5.74,7.575,69.0,11.0014,2,177,179,08:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
78,2011-01-04,Spring,2011,January,9,False,Tuesday,True,Clear,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,09:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
79,2011-01-04,Spring,2011,January,10,False,Tuesday,True,Mist/Cloudy,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,10:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
80,2011-01-04,Spring,2011,January,11,False,Tuesday,True,Clear,9.02,10.605,51.0,19.999499999999998,7,50,57,11:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
81,2011-01-04,Spring,2011,January,12,False,Tuesday,True,Clear,9.02,11.365,51.0,11.0014,12,66,78,12:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
82,2011-01-04,Spring,2011,January,13,False,Tuesday,True,Clear,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,13:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
83,2011-01-04,Spring,2011,January,14,False,Tuesday,True,Clear,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,14:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
84,2011-01-04,Spring,2011,January,15,False,Tuesday,True,Clear,11.48,13.635,52.0,16.997899999999998,17,48,65,15:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
85,2011-01-04,Spring,2011,January,16,False,Tuesday,True,Clear,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,16:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
86,2011-01-04,Spring,2011,January,17,False,Tuesday,True,Clear,11.48,13.635,48.0,15.001299999999999,10,202,212,17:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
87,2011-01-04,Spring,2011,January,18,False,Tuesday,True,Clear,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,18:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
88,2011-01-04,Spring,2011,January,19,False,Tuesday,True,Clear,9.84,12.879999999999999,48.0,7.0015,2,110,112,19:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
89,2011-01-04,Spring,2011,January,20,False,Tuesday,True,Clear,9.84,12.879999999999999,48.0,7.0015,1,53,54,20:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
90,2011-01-04,Spring,2011,January,21,False,Tuesday,True,Clear,9.02,13.635,64.0,0.0,0,48,48,21:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
91,2011-01-04,Spring,2011,January,22,False,Tuesday,True,Clear,9.02,12.879999999999999,64.0,6.0032,1,34,35,22:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
92,2011-01-04,Spring,2011,January,23,False,Tuesday,True,Clear,8.200000000000001,11.365,69.0,6.0032,2,9,11,23:00,4,Spring,2011,January,False,Tuesday,True,Clear,8.200000000000001,10.6061,59.0435,10.739832,108,1454,1562,dingin
93,2011-01-05,Spring,2011,January,0,False,Wednesday,True,Clear,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,00:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
94,2011-01-05,Spring,2011,January,1,False,Wednesday,True,Clear,6.5600000000000005,9.85,74.0,6.0032,0,6,6,01:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
95,2011-01-05,Spring,2011,January,2,False,Wednesday,True,Clear,6.5600000000000005,9.85,74.0,6.0032,0,2,2,02:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
96,2011-01-05,Spring,2011,January,4,False,Wednesday,True,Clear,9.84,11.365,48.0,15.001299999999999,0,2,2,04:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
97,2011-01-05,Spring,2011,January,5,False,Wednesday,True,Clear,9.02,11.365,47.0,11.0014,0,3,3,05:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
98,2011-01-05,Spring,2011,January,6,False,Wednesday,True,Clear,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,06:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
99,2011-01-05,Spring,2011,January,7,False,Wednesday,True,Clear,7.38,9.09,43.0,12.998000000000001,1,87,88,07:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
100,2011-01-05,Spring,2011,January,8,False,Wednesday,True,Clear,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,08:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
101,2011-01-05,Spring,2011,January,9,False,Wednesday,True,Clear,9.02,9.85,37.0,22.0028,6,109,115,09:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
102,2011-01-05,Spring,2011,January,10,False,Wednesday,True,Clear,9.02,9.85,37.0,22.0028,4,53,57,10:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
103,2011-01-05,Spring,2011,January,11,False,Wednesday,True,Clear,10.66,11.365,33.0,22.0028,12,34,46,11:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
104,2011-01-05,Spring,2011,January,12,False,Wednesday,True,Clear,10.66,11.365,33.0,22.0028,5,74,79,12:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
105,2011-01-05,Spring,2011,January,13,False,Wednesday,True,Clear,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,13:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
106,2011-01-05,Spring,2011,January,14,False,Wednesday,True,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,14:00,5,Spring,2011,January,False,Wednesday,True,Clear,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,1600,dingin
